No. 1s,Fecha,INICIO,FINAL,TIEMPO DE PARO,CAUSA (DIGITAR EN MAYUSCULAS),PROCESO,HORAS TOTAL (H),Codigo ubicación tecnica,Tipo Paro,Imputación,AREA,PROCESO2,CLASE,NOMBRE RCA,AREA2,MES,AÑO
PARO,2024-03-22,09:15:00,10:48:00,01:33:00,FALLA DE COMUNICACIÓN APILADOR DE PREHOMO,TRITURADORA,1.5499999999999998,IA01-211,ELECTRICO,APILADOR,MTTO ELECTRICO,No Especificado,Sin Clase,FALLA DE COMUNICACIÓN APILADOR DE PREHOMO,TRITURADORA,marzo,2024
PARO,2024-03-24,16:14:00,23:59:00,07:45:00,BAJO INVENTARIO DE CALIZA POR DAÑO MECANICO EN BANDA K21BT01,CEMENTO UG,21.88,EC01-K21-BT01,EXTERNO,MOLINO,MTTO MECANICO,No Especificado,Sin Clase,DAÑO MECANICO EN BANDA K21BT01,CEMENTO,Marzo,2024
PARO,2024-03-26,10:20:00,11:04:00,00:44:00,"SE SUELTA COMPUERTA DE LA TRITURADORA,  SE ROMPEN TORNILLOS",TRITURADORA,0.7333333333333321,IA01-211-TR01,MECANICO,TRITURADORA,MTTO MECANICO,No Especificado,Sin Clase,DAÑO TORNILLO COMPUERTA DE LA TRITURADORA,TRITURADORA,Marzo,2024
PARO,2024-03-28,14:13:00,16:10:00,01:57:00,SE CAEN SEPARADORES DE LOS SOPORTES DE LAS CRIBAS ,TRITURADORA,1.950000000000001,IA01-211,MECANICO,TRITURADORA,MTTO MECANICO,No Especificado,Sin Clase,FALLA SEPARADORES DE LOS SOPORTES DE LAS CRIBAS ,TRITURADORA,Marzo,2024
PARO,2024-04-01,20:30:00,23:00:00,02:30:00,DAÑO EN CRIBAS,TRITURADORA,2.5000000000000018,IA01-211,MECANICO,TRITURADORA,MTTO MECANICO,No Especificado,Sin Clase,DAÑO EN CRIBAS,TRITURADORA,Abril,2024
PARO,2024-04-01,00:15:00,23:59:00,23:44:00,PARO DE HORNO ,HORNO,278.03,EC01-461,OPERACIÓN,HORNO,PRODUCCION,No Especificado,Sin Clase,PARO DE HORNO CAMBIO REFRACTARIO,HORNO,Abril,2024
PARO,2024-04-13,06:47:00,08:45:00,01:58:00,DESALINEAMIENTO DOSIFICADORA,CARBON,1.9666666666666663,EC01-L61-BP01,MECANICO,Sin Imputacion,MTTO MECANICO,No Especificado,Sin Clase,DESALINEAMIENTO DOSIFICADORA CARBON,CARBON,Abril,2024
PARO,2024-04-15,02:59:00,05:50:00,02:51:00,VARIACIÓN DE TENSIÓN ,HORNO,2.85,EC01-461,EXTERNO,Sin Imputacion,MTTO ELECTRICO,No Especificado,Sin Clase,VARIACION DE TENSION ELECTRICA,HORNO,Abril,2024
PARO,2024-04-17,21:55:00,23:59:00,02:04:00,DAÑO EN CADENA PRINCIPAL DEL RECLAMADOR DE PREHOMO ,CRUDO,2.0666666666666673,IA01-311-RC01,EXTERNO,Sin Imputacion,MTTO MECANICO,No Especificado,Sin Clase,DAÑO CADENA PRINCIPAL RECLAMADOR DE PREHOMO ,CRUDO,Abril,2024
PARO,2024-04-18,11:00:00,19:18:00,08:18:00,CORTE DE ENERGIA GENERAL,HORNO,8.3,EC01-461-HR01,EXTERNO,HORNO,MTTO ELECTRICO,No Especificado,Sin Clase,PARO PROGRAMADO PARA INTERVENCION ELECTRICA.,HORNO,Abril,2024
PARO,2024-04-21,13:15:00,15:35:00,02:20:00,ALTO CONSUMO CORRIENTE Y POTENCIA EN ALIMENTADOR DE PLACAS DE MINERAL,CRUDO,2.333333333333333,EC01-321-DP02,MECANICO,ALIMENTADOR DE MATERIAL,MTTO MECANICO,No Especificado,Sin Clase,ALTO CONSUMO CORRIENTE  EN ALIMENTADOR DE PLACAS MINERAL,CRUDO,Abril,2024
PARO,2024-04-25,18:51:00,23:59:00,05:08:00,PARO DE HORNO ,HORNO,14.23,EC01-461,OPERACIÓN,Sin Imputacion,PRODUCCION,No Especificado,Sin Clase,PARO DE HORNO ,HORNO,Abril,2024
PARO,2024-05-18,00:49:00,03:18:00,02:29:00,VARIACIÓN DE TENSIÓN ,HORNO,2.483333333333334,EC01-461,EXTERNO,Sin Imputacion,MTTO ELECTRICO,No Especificado,Sin Clase,VARIACION DE TENSION ELECTRICA,HORNO,mayo,2024
PARO,2024-05-24,11:00:00,15:33:00,04:33:00,SE RASGA BANDA 211BT01,TRITURADORA,4.550000000000001,IA01-211-BT01,EXTERNO,Sin Imputacion,MTTO MECANICO,No Especificado,Sin Clase,DAÑO BANDA 211BT01 TRITURADORA,TRITURADORA,mayo,2024
PARO,2024-05-25,09:20:00,12:36:00,03:16:00,DAÑO SPROCKET RECLAMADOR MEZCLA,CRUDO,3.266666666666667,EC01-361-SM01,EXTERNO,Sin Imputacion,MTTO MECANICO,No Especificado,Sin Clase,DAÑO SPROCKET RECLAMADOR MEZCLA,CRUDO,mayo,2024
PARO,2024-05-26,01:38:00,01:47:00,00:09:00,DESALINEAMIENTO DE DOSIFICADORA DE YESO,CEMENTO UG,0.15000000000000013,EC01-521-BP02,MECANICO,DOSIFICADOR ,MTTO MECANICO,No Especificado,Sin Clase,DESALINEAMIENTO DE DOSIFICADORA DE YESO,CEMENTO,mayo,2024
PARO,2024-05-31,20:10:00,20:36:00,00:26:00,PERDIDA DE COMUNICACIÓN PLC 4P2,HORNO,0.4333333333333318,EC01-461-HR01,ELECTRICO,HORNO,MTTO ELECTRICO,No Especificado,Sin Clase,PERDIDA DE COMUNICACIÓN PLC 4P1,HORNO,mayo,2024
PARO,2024-06-01,06:28:00,12:21:00,05:53:00,CORTE DE ENERGIA GENERAL,HORNO,5.883333333333333,EC01-461-HR01,EXTERNO,HORNO,MTTO ELECTRICO,No Especificado,Sin Clase,CORTE DE ENERGIA GENERAL,HORNO,Junio,2024
PARO,2024-06-01,20:18:00,23:59:00,03:41:00,PARO PROGRAMADO POR CAIDA DE CONCRETO EN CAPERUZA HORNO,HORNO,3.6833333333333336,EC01-461-HR01,OPERACIÓN,HORNO,PRODUCCION,No Especificado,Sin Clase,PARO POR CAIDA DE CONCRETO CAPERUZA,HORNO,Junio,2024
PARO,2024-06-11,03:00:00,03:28:00,00:28:00,DESALINEAMIENTO BANDA 531BT01,CEMENTO UG,0.46666666666666634,EC01-531-BT01,MECANICO,Sin Imputacion,MTTO MECANICO,No Especificado,Sin Clase,DESALINEAMIENTO BANDA 531BT01,CEMENTO,Junio,2024
PARO,2024-06-11,11:26:00,17:33:00,06:07:00,DAÑO PERNOS MESA MOLINO CEMENTO,CEMENTO UG,6.116666666666666,EC01-561,MECANICO,Sin Imputacion,MTTO MECANICO,No Especificado,Sin Clase,DAÑO PERNOS MESA MOLINO CEMENTO,CEMENTO,Junio,2024
PARO,2024-06-11,03:00:00,03:28:00,00:28:00,DESALINEAMIENTO BANDA 531BT01,CEMENTO UG,0.46666666666666634,EC01-531-BT01,MECANICO,Sin Imputacion,MTTO MECANICO,No Especificado,Sin Clase,DESALINEAMIENTO BANDA 531BT01,CEMENTO,Junio,2024
PARO,2024-06-12,08:54:00,09:05:00,00:11:00,ENCAUSAR CAIDO BANDA 361BT01,CRUDO,0.18,EC01-361-BT01,PROGRAMADO DE PRODUCCIÓN,Sin Imputacion,MTTO MECANICO,No Especificado,Sin Clase,DAÑO ENCAUSADOR BANDA 361BT01,CRUDO,Junio,2024
PARO,2024-06-22,00:41:00,11:00:00,10:19:00,CAIDA DE COSTRAS ENFRIADOR,HORNO,10.316666666666666,EC01-461-HR01,OPERACIÓN,HORNO,PRODUCCION,No Especificado,Sin Clase,CAIDA DE COSTRAS ENFRIADOR,HORNO,Junio,2024
PARO,2024-06-22,22:15:00,23:59:00,01:44:00,DAÑO DOSIFICADORA DE PREHOMO,CRUDO,17.02,EC01-321-BP01,MECANICO,Sin Imputacion,MTTO MECANICO,No Especificado,Sin Clase,DAÑO BANDA DOSIFICADORA DE PREHOMO,CRUDO,Junio,2024
PARO,2024-06-22,16:42:00,16:58:00,00:16:00,PIERDEN SINCRONIZACIÓN LOS MOTORES PRINCIPALES DEL HORNO,HORNO,0.2666666666666684,EC01-461-AP01,EXTERNO,Sin Imputacion,PRODUCCION,No Especificado,Sin Clase,PERDIDA SINCRONIZACIÓN MOTORES PRINCIPALES HORNO,HORNO,Junio,2024
